"Launch Angle (degrees)","Exit Velocity (mph)","Predicted Probability of a Hit"
13,87,"78.6%"
13,86,"72.5%"
13,85,"86.1%"
13,84,"83.1%"
13,83,"77.4%"
13,82,"75.2%"
13,81,"71.5%"
13,80,"83.8%"
13,79,"76.1%"
13,78,"74.6%"
13,77,"74.1%"
13,76,"69.8%"
13,75,"58.1%"
13,74,"61.5%"
13,73,"55.1%"
13,72,"61.0%"
13,71,"58.5%"
13,70,"48.2%"
13,69,"59.0%"
13,68,"50.1%"
13,67,"44.1%"
13,66,"47.6%"
13,65,"78.6%"
13,64,"39.7%"
13,62,"29.4%"
13,60,"39.5%"
13,55,"12.6%"
13,54,"29.6%"
13,52,"42.3%"
13,51,"29.2%"
13,50,"37.8%"
13,48,"37.4%"
13,43,"41.6%"
12,117,"87.0%"
12,114,"72.8%"
12,113,"85.4%"
12,112,"89.6%"
12,111,"69.9%"
12,110,"84.6%"
12,109,"89.2%"
12,108,"81.0%"
12,107,"85.6%"
12,106,"87.3%"
12,105,"81.8%"
12,104,"85.8%"
12,103,"81.1%"
12,102,"80.1%"
12,101,"75.7%"
12,100,"79.5%"
12,99,"79.0%"
12,98,"77.7%"
12,97,"80.7%"
12,96,"77.6%"
12,95,"79.0%"
12,94,"77.0%"
12,93,"75.2%"
12,92,"84.5%"
12,91,"71.7%"
12,90,"76.0%"
12,89,"81.0%"
12,88,"73.4%"
12,87,"78.5%"
12,86,"73.4%"
12,85,"84.2%"
12,84,"79.2%"
12,83,"71.8%"
12,82,"67.1%"
12,81,"69.2%"
12,80,"69.9%"
12,79,"57.6%"
12,78,"55.4%"
12,77,"72.0%"
12,76,"73.3%"
12,75,"70.4%"
12,74,"68.2%"
12,73,"59.2%"
12,72,"71.6%"
12,71,"70.9%"
12,70,"47.1%"
12,69,"51.9%"
12,68,"36.0%"
12,67,"41.8%"
12,66,"51.1%"
12,65,"29.8%"
12,62,"56.4%"
12,61,"32.9%"
12,59,"45.6%"
12,58,"41.8%"
12,57,"16.8%"
12,55,"31.1%"
12,54,"33.8%"
12,53,"32.5%"
12,52,"35.5%"
12,51,"39.6%"
12,49,"35.4%"
12,47,"40.0%"
12,46,"34.4%"
12,44,"45.0%"
12,36,"25.8%"
11,117,"68.0%"
11,116,"84.8%"
11,114,"71.6%"
11,113,"61.0%"
11,112,"76.7%"
11,111,"87.0%"
11,110,"85.9%"
11,109,"88.1%"
11,108,"83.5%"
11,107,"83.8%"
11,106,"83.4%"
11,105,"80.0%"
11,104,"81.6%"
11,103,"79.0%"
11,102,"74.8%"
11,101,"80.8%"
11,100,"80.3%"
11,99,"79.4%"
11,98,"79.2%"
11,97,"76.2%"
11,96,"77.4%"
11,95,"80.4%"
11,94,"73.8%"
11,93,"77.0%"
11,92,"71.1%"
11,91,"65.6%"
11,90,"59.9%"
11,89,"68.9%"
11,88,"69.6%"
11,87,"68.5%"
11,86,"79.8%"
11,85,"71.7%"
11,84,"67.0%"
11,83,"72.1%"
11,82,"63.5%"
11,81,"71.0%"
11,80,"65.8%"
11,79,"61.8%"
11,78,"40.2%"
11,77,"70.0%"
11,76,"60.0%"
11,75,"64.4%"
11,74,"62.3%"
11,73,"58.0%"
11,72,"63.5%"
11,71,"49.1%"
11,70,"38.9%"
11,69,"33.7%"
11,68,"43.6%"
11,67,"47.4%"
11,66,"40.0%"
11,65,"36.9%"
11,64,"25.2%"
11,63,"30.6%"
11,62,"52.3%"
11,61,"43.8%"
11,58,"32.9%"
11,56,"32.0%"
11,55,"30.6%"
11,54,"54.2%"
11,52,"39.0%"
11,49,"47.8%"
11,46,"33.6%"
10,116,"66.4%"
10,115,"81.8%"
10,114,"88.2%"
10,112,"81.9%"
10,111,"79.7%"
10,110,"81.2%"
10,109,"92.9%"
10,108,"86.8%"
10,107,"88.7%"
10,106,"81.8%"
10,105,"80.6%"
10,104,"82.7%"
10,103,"73.0%"
10,102,"75.5%"
10,101,"75.3%"
10,100,"77.3%"
10,99,"73.3%"
10,98,"78.6%"
10,97,"72.4%"
10,96,"79.9%"
10,95,"78.7%"
10,94,"75.9%"
10,93,"74.5%"
10,92,"74.2%"
10,91,"73.4%"
10,90,"73.9%"
10,89,"67.1%"
10,88,"64.5%"
10,87,"73.5%"
10,86,"72.8%"
10,85,"66.8%"
10,84,"76.4%"
10,83,"67.7%"
10,82,"64.5%"
10,81,"59.7%"
10,80,"70.5%"
10,79,"68.5%"
10,78,"59.1%"
10,77,"58.3%"
10,76,"55.0%"
10,75,"62.9%"
10,74,"60.6%"
10,73,"57.5%"
10,72,"52.2%"
10,71,"69.1%"
10,70,"39.2%"
10,68,"29.0%"
10,67,"49.6%"
10,66,"53.8%"
10,65,"80.4%"
10,64,"29.6%"
10,63,"12.0%"
10,62,"36.0%"
10,61,"41.1%"
10,59,"14.6%"
10,58,"7.0%"
10,57,"24.2%"
10,56,"40.9%"
10,55,"44.1%"
10,53,"46.0%"
10,52,"29.4%"
9,113,"69.0%"
9,112,"81.6%"
9,111,"82.8%"
9,110,"73.3%"
9,109,"84.0%"
9,108,"80.8%"
9,107,"83.8%"
9,106,"84.9%"
9,105,"78.7%"
9,104,"76.5%"
9,103,"75.4%"
9,102,"82.9%"
9,101,"80.7%"
9,100,"77.9%"
9,99,"73.4%"
9,98,"71.8%"
9,97,"72.9%"
9,96,"67.7%"
9,95,"76.0%"
9,94,"75.1%"
9,93,"77.1%"
9,92,"59.7%"
9,91,"57.2%"
9,90,"61.2%"
9,89,"62.0%"
9,88,"63.5%"
9,87,"69.3%"
9,86,"70.3%"
9,85,"71.0%"
9,84,"72.8%"
9,83,"64.0%"
9,82,"54.9%"
9,81,"59.8%"
9,80,"42.5%"
9,79,"63.7%"
9,78,"55.2%"
9,77,"63.7%"
9,76,"57.5%"
9,75,"57.3%"
9,74,"60.7%"
9,73,"54.9%"
9,72,"55.4%"
9,71,"58.2%"
9,70,"47.9%"
9,69,"42.3%"
9,68,"55.5%"
9,67,"43.0%"
9,65,"44.1%"
9,64,"34.9%"
9,63,"38.0%"
9,62,"16.6%"
9,61,"40.8%"
9,60,"48.4%"
9,58,"36.9%"
9,54,"20.6%"
9,53,"40.4%"
9,52,"64.2%"
9,49,"21.0%"
9,41,"19.2%"
9,38,"27.8%"
8,114,"83.0%"
8,113,"79.4%"
8,112,"76.1%"
8,111,"82.0%"
8,110,"81.0%"
8,109,"79.2%"
8,108,"77.9%"
8,107,"83.8%"
8,106,"75.0%"
8,105,"80.8%"
8,104,"77.7%"
8,103,"67.4%"
8,102,"78.9%"
8,101,"77.7%"
8,100,"74.0%"
8,99,"71.4%"
8,98,"68.3%"
8,97,"71.0%"
8,96,"68.0%"
8,95,"78.6%"
8,94,"69.8%"
8,93,"63.6%"
8,92,"55.5%"
8,91,"69.8%"
8,90,"57.8%"
8,89,"68.1%"
8,88,"62.4%"
8,87,"55.2%"
8,86,"58.4%"
8,85,"55.3%"
8,84,"62.3%"
8,83,"52.8%"
8,82,"52.6%"
8,81,"59.3%"
8,80,"37.5%"
8,79,"54.1%"
8,78,"44.5%"
8,77,"57.6%"
8,76,"46.9%"
8,75,"39.3%"
8,74,"44.6%"
8,73,"41.6%"
8,72,"31.3%"
8,71,"55.5%"
8,70,"48.8%"
8,69,"47.2%"
8,68,"51.7%"
8,67,"32.1%"
8,66,"39.8%"
8,64,"50.1%"
8,63,"33.8%"
8,62,"3.2%"
8,61,"14.6%"
8,60,"40.2%"
8,58,"47.2%"
8,56,"43.2%"
8,54,"39.2%"
8,51,"33.4%"
8,50,"23.0%"
8,45,"29.8%"
8,44,"37.2%"
8,39,"37.8%"
7,116,"24.6%"
7,115,"83.6%"
7,113,"55.6%"
7,112,"69.4%"
7,111,"77.0%"
7,110,"75.3%"
7,109,"78.1%"
7,108,"81.8%"
7,107,"81.3%"
7,106,"73.7%"
7,105,"77.5%"
7,104,"75.4%"
7,103,"73.7%"
7,102,"71.5%"
7,101,"71.8%"
7,100,"73.2%"
7,99,"67.4%"
7,98,"60.5%"
7,97,"61.2%"
7,96,"74.5%"
7,95,"68.2%"
7,94,"65.9%"
7,93,"64.8%"
7,92,"61.1%"
7,91,"60.1%"
7,90,"52.1%"
7,89,"57.9%"
7,88,"50.8%"
7,87,"56.4%"
7,86,"37.0%"
7,85,"45.5%"
7,84,"52.9%"
7,83,"48.3%"
7,82,"43.5%"
7,81,"46.8%"
7,80,"48.3%"
7,79,"34.1%"
7,78,"44.5%"
7,77,"36.8%"
7,76,"45.4%"
7,75,"39.1%"
7,74,"34.9%"
7,73,"35.4%"
7,72,"47.7%"
7,71,"46.9%"
7,70,"47.7%"
7,69,"42.8%"
7,68,"39.1%"
7,67,"36.9%"
7,66,"34.2%"
7,65,"45.6%"
7,64,"27.8%"
7,62,"38.8%"
7,61,"19.8%"
7,60,"18.4%"
7,59,"31.0%"
7,58,"37.8%"
7,56,"15.8%"
7,53,"29.0%"
7,48,"17.8%"
7,40,"31.0%"
6,119,"69.0%"
6,114,"79.3%"
6,113,"79.8%"
6,112,"80.7%"
6,111,"77.2%"
6,110,"69.3%"
6,109,"79.2%"
6,108,"70.2%"
6,107,"78.7%"
6,106,"71.9%"
6,105,"82.2%"
6,104,"74.2%"
6,103,"62.2%"
6,102,"57.2%"
6,101,"64.0%"
6,100,"65.8%"
6,99,"62.8%"
6,98,"65.3%"
6,97,"64.6%"
6,96,"67.3%"
6,95,"63.9%"
6,94,"71.2%"
6,93,"62.7%"
6,92,"55.9%"
6,91,"55.2%"
6,90,"57.3%"
6,89,"49.9%"
6,88,"48.5%"
6,87,"51.6%"
6,86,"50.5%"
6,85,"50.3%"
6,84,"49.0%"
6,83,"45.7%"
6,82,"43.2%"
6,81,"44.9%"
6,80,"45.2%"
6,79,"37.0%"
6,78,"46.8%"
6,77,"44.2%"
6,76,"47.2%"
6,75,"36.4%"
6,74,"31.9%"
6,73,"23.3%"
6,72,"52.2%"
6,71,"36.0%"
6,70,"48.7%"
6,69,"44.1%"
6,68,"40.5%"
6,67,"31.0%"
6,66,"27.3%"
6,65,"31.2%"
6,64,"65.8%"
6,62,"39.8%"
6,61,"26.8%"
6,60,"30.4%"
6,59,"11.2%"
6,57,"26.3%"
6,53,"20.4%"
6,51,"30.8%"
6,50,"29.2%"
6,45,"70.6%"
6,43,"22.4%"
5,115,"74.5%"
5,113,"68.7%"
5,112,"83.7%"
5,111,"79.5%"
5,110,"70.7%"
5,109,"81.7%"
5,108,"84.3%"
5,107,"79.2%"
5,106,"80.2%"
5,105,"80.9%"
5,104,"65.2%"
5,103,"59.4%"
5,102,"57.2%"
5,101,"65.4%"
5,100,"69.2%"
5,99,"61.1%"
5,98,"59.7%"
5,97,"64.0%"
5,96,"62.9%"
5,95,"62.1%"
5,94,"68.3%"
5,93,"53.7%"
5,92,"46.2%"
5,91,"62.1%"
5,90,"40.9%"
5,89,"53.7%"
5,88,"61.4%"
5,87,"47.7%"
5,86,"45.6%"
5,85,"55.3%"
5,84,"50.4%"
5,83,"45.0%"
5,82,"38.2%"
5,81,"41.3%"
5,80,"32.0%"
5,79,"45.9%"
5,78,"41.2%"
5,77,"40.0%"
5,76,"43.2%"
5,75,"41.0%"
5,74,"35.6%"
5,73,"34.5%"
5,72,"37.8%"
5,71,"22.4%"
5,70,"28.8%"
5,69,"30.9%"
5,68,"13.0%"
5,67,"42.5%"
5,66,"33.5%"
5,65,"32.2%"
5,63,"35.9%"
5,61,"21.4%"
5,60,"18.3%"
5,59,"31.3%"
5,58,"6.8%"
5,57,"14.5%"
5,56,"26.6%"
5,53,"31.6%"
5,52,"12.2%"
5,51,"29.6%"
5,50,"42.8%"
5,48,"39.8%"
4,118,"79.2%"
4,113,"66.2%"
4,112,"85.4%"
4,111,"71.2%"
4,110,"75.0%"
4,109,"82.2%"
4,108,"79.5%"
4,107,"83.3%"
4,106,"82.0%"
4,105,"77.6%"
4,104,"75.2%"
4,103,"62.9%"
4,102,"56.3%"
4,101,"64.6%"
4,100,"64.2%"
4,99,"66.4%"
4,98,"65.3%"
4,97,"66.9%"
4,96,"62.0%"
4,95,"65.7%"
4,94,"55.7%"
4,93,"58.5%"
4,92,"60.5%"
4,91,"53.6%"
4,90,"56.8%"
4,89,"55.4%"
4,88,"53.8%"
4,87,"36.0%"
4,86,"48.0%"
4,85,"47.6%"
4,84,"43.7%"
4,83,"36.4%"
4,82,"33.7%"
4,81,"37.5%"
4,80,"36.1%"
4,79,"36.5%"
4,78,"33.9%"
4,77,"22.9%"
4,76,"29.6%"
4,75,"46.0%"
4,74,"32.8%"
4,73,"20.0%"
4,72,"35.8%"
4,71,"34.5%"
4,70,"28.4%"
4,69,"23.2%"
4,68,"29.8%"
4,67,"26.8%"
4,66,"24.8%"
4,65,"40.4%"
4,59,"19.0%"
4,48,"36.6%"
4,46,"9.4%"
4,43,"20.2%"
4,41,"14.3%"
4,35,"35.4%"
4,32,"33.4%"
3,115,"76.7%"
3,114,"63.5%"
3,113,"82.7%"
3,112,"74.9%"
3,111,"72.2%"
3,110,"63.0%"
3,109,"79.2%"
3,108,"73.4%"
3,107,"64.5%"
3,106,"79.8%"
3,105,"67.4%"
3,104,"66.5%"
3,103,"57.6%"
3,102,"62.7%"
3,101,"62.9%"
3,100,"62.7%"
3,99,"59.1%"
3,98,"64.9%"
3,97,"57.4%"
3,96,"48.3%"
3,95,"58.1%"
3,94,"56.7%"
3,93,"54.2%"
3,92,"50.4%"
3,91,"50.5%"
3,90,"58.4%"
3,89,"55.4%"
3,88,"45.2%"
3,87,"46.0%"
3,86,"40.3%"
3,85,"33.9%"
3,84,"37.9%"
3,83,"26.0%"
3,82,"34.6%"
3,81,"30.6%"
3,80,"30.3%"
3,79,"33.4%"
3,78,"24.3%"
3,77,"33.0%"
3,76,"29.8%"
3,75,"30.4%"
3,74,"29.3%"
3,73,"29.1%"
3,72,"37.2%"
3,71,"34.4%"
3,70,"27.3%"
3,69,"22.4%"
3,68,"20.4%"
3,67,"22.3%"
3,66,"29.2%"
3,65,"30.6%"
3,64,"36.4%"
3,63,"11.6%"
3,62,"26.6%"
3,61,"41.8%"
3,59,"22.8%"
3,58,"32.2%"
3,57,"20.3%"
3,56,"28.7%"
3,54,"27.2%"
3,53,"27.2%"
3,52,"37.2%"
3,50,"44.4%"
3,48,"7.2%"
3,45,"27.0%"
2,119,"65.6%"
2,114,"57.9%"
2,113,"67.8%"
2,112,"64.2%"
2,111,"74.7%"
2,110,"73.7%"
2,109,"75.0%"
2,108,"76.9%"
2,107,"75.3%"
2,106,"75.9%"
2,105,"73.8%"
2,104,"68.3%"
2,103,"55.4%"
2,102,"58.7%"
2,101,"59.0%"
2,100,"61.9%"
2,99,"61.9%"
2,98,"56.7%"
2,97,"54.4%"
2,96,"53.9%"
2,95,"47.8%"
2,94,"45.8%"
2,93,"47.8%"
2,92,"47.4%"
2,91,"48.7%"
2,90,"43.6%"
2,89,"52.4%"
2,88,"55.3%"
2,87,"47.1%"
2,86,"38.0%"
2,85,"36.2%"
2,84,"36.6%"
2,83,"31.9%"
2,82,"29.6%"
2,81,"36.6%"
2,80,"36.2%"
2,79,"34.5%"
2,78,"30.1%"
2,77,"27.6%"
2,76,"27.5%"
2,75,"23.7%"
2,74,"37.1%"
2,73,"27.1%"
2,72,"35.1%"
2,71,"41.5%"
2,70,"31.9%"
2,69,"38.8%"
2,68,"18.8%"
2,67,"38.8%"
2,66,"32.3%"
2,65,"23.8%"
2,64,"13.2%"
2,63,"35.0%"
2,61,"40.7%"
2,58,"23.2%"
2,57,"7.2%"
2,54,"18.5%"
2,51,"43.2%"
2,47,"6.0%"
2,46,"24.8%"
2,40,"9.6%"
1,117,"37.8%"
1,116,"78.8%"
1,114,"82.0%"
1,112,"64.1%"
1,111,"62.8%"
1,110,"73.5%"
1,109,"65.5%"
1,108,"76.3%"
1,107,"64.5%"
1,106,"72.3%"
1,105,"66.7%"
1,104,"65.2%"
1,103,"55.2%"
1,102,"50.6%"
1,101,"57.7%"
1,100,"53.6%"
1,99,"54.2%"
1,98,"50.0%"
1,97,"47.1%"
1,96,"43.7%"
1,95,"42.2%"
1,94,"43.7%"
1,93,"44.6%"
1,92,"45.3%"
1,91,"46.4%"
1,90,"37.9%"
1,89,"43.0%"
1,88,"43.1%"
1,87,"35.0%"
1,86,"43.3%"
1,85,"38.0%"
1,84,"41.5%"
1,83,"24.6%"
1,82,"32.9%"
1,81,"26.4%"
1,80,"28.0%"
1,79,"28.8%"
1,78,"33.6%"
1,77,"21.5%"
1,76,"25.6%"
1,75,"23.8%"
1,74,"35.6%"
1,73,"28.8%"
1,72,"32.3%"
1,71,"24.0%"
1,70,"22.3%"
1,69,"29.8%"
1,68,"23.1%"
1,67,"22.3%"
1,66,"29.7%"
1,65,"11.9%"
1,64,"16.9%"
1,62,"15.5%"
1,61,"21.8%"
1,58,"13.0%"
1,54,"22.2%"
1,52,"23.8%"
1,49,"28.2%"
1,47,"22.0%"
0,115,"47.8%"
0,113,"71.6%"
0,112,"45.0%"
0,111,"58.0%"
0,110,"53.1%"
0,109,"52.8%"
0,108,"55.7%"
0,107,"49.1%"
0,106,"50.3%"
0,105,"56.8%"
0,104,"56.1%"
0,103,"51.0%"
0,102,"50.0%"
0,101,"48.9%"
0,100,"38.8%"
0,99,"50.8%"
0,98,"38.9%"
0,97,"43.1%"
0,96,"40.9%"
0,95,"38.0%"
0,94,"31.8%"
0,93,"39.9%"
0,92,"35.7%"
0,91,"38.1%"
0,90,"31.3%"
0,89,"40.5%"
0,88,"28.0%"
0,87,"36.0%"
0,86,"28.8%"
0,85,"35.2%"
0,84,"31.9%"
0,83,"28.4%"
0,82,"21.8%"
0,81,"32.1%"
0,80,"28.2%"
0,79,"28.8%"
0,78,"28.5%"
0,77,"22.3%"
0,76,"29.4%"
0,75,"25.5%"
0,74,"20.3%"
0,73,"27.8%"
0,72,"20.6%"
0,71,"25.3%"
0,70,"9.6%"
0,69,"18.3%"
0,68,"23.8%"
0,67,"15.4%"
0,66,"23.9%"
0,65,"20.0%"
0,64,"36.4%"
0,62,"15.8%"
0,61,"14.6%"
0,59,"17.0%"
0,58,"27.7%"
0,57,"9.1%"
0,56,"14.2%"
0,48,"25.9%"
0,47,"23.4%"
0,31,"11.0%"
0,0,"33.4%"
-1,115,"34.4%"
-1,114,"55.1%"
-1,113,"62.0%"
-1,112,"50.9%"
-1,111,"58.5%"
-1,110,"53.2%"
-1,109,"53.8%"
-1,108,"55.4%"
-1,107,"55.6%"
-1,106,"55.2%"
-1,105,"48.4%"
-1,104,"54.6%"
-1,103,"48.9%"
-1,102,"57.3%"
-1,101,"45.5%"
-1,100,"43.0%"
-1,99,"43.0%"
-1,98,"37.7%"
-1,97,"49.0%"
-1,96,"41.3%"
-1,95,"35.9%"
-1,94,"37.9%"
-1,93,"35.6%"
-1,92,"37.3%"
-1,91,"35.0%"
-1,90,"33.2%"
-1,89,"34.2%"
-1,88,"32.6%"
-1,87,"25.2%"
-1,86,"36.6%"
-1,85,"31.4%"
-1,84,"34.2%"
-1,83,"32.4%"
-1,82,"20.9%"
-1,81,"18.8%"
-1,80,"20.3%"
-1,79,"35.5%"
-1,78,"18.5%"
-1,77,"12.9%"
-1,76,"21.9%"
-1,75,"19.6%"
-1,74,"21.9%"
-1,73,"16.2%"
-1,72,"27.9%"
-1,71,"17.8%"
-1,70,"21.4%"
-1,69,"24.9%"
-1,68,"15.5%"
-1,67,"5.3%"
-1,66,"13.5%"
-1,65,"26.2%"
-1,64,"26.0%"
-1,63,"20.0%"
-1,62,"23.0%"
-1,61,"13.0%"
-1,59,"5.4%"
-1,57,"19.9%"
-1,56,"18.6%"
-1,55,"18.1%"
-1,36,"9.2%"
-2,113,"57.0%"
-2,112,"54.4%"
-2,111,"54.8%"
-2,110,"40.7%"
-2,109,"60.2%"
-2,108,"46.8%"
-2,107,"43.6%"
-2,106,"54.4%"
-2,105,"51.5%"
-2,104,"52.2%"
-2,103,"44.2%"
-2,102,"48.7%"
-2,101,"47.3%"
-2,100,"43.2%"
-2,99,"39.1%"
-2,98,"42.0%"
-2,97,"50.1%"
-2,96,"41.4%"
-2,95,"44.0%"
-2,94,"36.8%"
-2,93,"38.5%"
-2,92,"33.6%"
-2,91,"38.8%"
-2,90,"36.0%"
-2,89,"29.3%"
-2,88,"36.0%"
-2,87,"27.4%"
-2,86,"23.5%"
-2,85,"37.7%"
-2,84,"36.5%"
-2,83,"23.3%"
-2,82,"19.8%"
-2,81,"20.3%"
-2,80,"31.3%"
-2,79,"19.2%"
-2,78,"24.0%"
-2,77,"15.8%"
-2,76,"25.2%"
-2,75,"18.3%"
-2,74,"13.2%"
-2,73,"13.0%"
-2,72,"17.8%"
-2,71,"25.0%"
-2,70,"11.1%"
-2,69,"19.1%"
-2,68,"18.5%"
-2,67,"14.0%"
-2,66,"11.5%"
-2,65,"7.4%"
-2,64,"14.2%"
-2,63,"13.8%"
-2,62,"17.5%"
-2,61,"34.6%"
-2,60,"33.2%"
-2,56,"12.0%"
-2,53,"13.2%"
-2,41,"10.0%"
-2,34,"15.0%"
-2,21,"37.6%"
-3,118,"18.0%"
-3,117,"42.2%"
-3,115,"68.6%"
-3,114,"64.2%"
-3,113,"58.6%"
-3,112,"57.7%"
-3,111,"52.0%"
-3,110,"56.5%"
-3,109,"45.0%"
-3,108,"47.0%"
-3,107,"43.3%"
-3,106,"47.2%"
-3,105,"48.6%"
-3,104,"47.2%"
-3,103,"48.6%"
-3,102,"46.8%"
-3,101,"45.5%"
-3,100,"43.0%"
-3,99,"46.0%"
-3,98,"42.3%"
-3,97,"42.6%"
-3,96,"45.2%"
-3,95,"39.7%"
-3,94,"37.2%"
-3,93,"38.2%"
-3,92,"38.1%"
-3,91,"29.5%"
-3,90,"27.0%"
-3,89,"26.4%"
-3,88,"28.9%"
-3,87,"24.8%"
-3,86,"36.6%"
-3,85,"20.0%"
-3,84,"26.8%"
-3,83,"10.6%"
-3,82,"20.4%"
-3,81,"19.1%"
-3,80,"15.6%"
-3,79,"25.0%"
-3,78,"22.2%"
-3,77,"18.2%"
-3,76,"24.4%"
-3,75,"26.7%"
-3,74,"13.9%"
-3,73,"27.2%"
-3,72,"20.1%"
-3,71,"14.9%"
-3,70,"30.1%"
-3,69,"12.6%"
-3,68,"16.4%"
-3,67,"12.3%"
-3,66,"19.0%"
-3,65,"30.0%"
-3,64,"23.4%"
-3,63,"16.9%"
-3,62,"12.2%"
-3,60,"16.2%"
-3,59,"5.8%"
-3,54,"30.6%"
-3,49,"13.2%"
-3,43,"47.1%"
-3,40,"41.3%"
-3,39,"18.1%"
-4,116,"61.2%"
-4,115,"36.8%"
-4,112,"66.5%"
-4,111,"43.2%"
-4,110,"57.2%"
-4,109,"53.8%"
-4,108,"56.7%"
-4,107,"53.0%"
-4,106,"48.0%"
-4,105,"44.0%"
-4,104,"46.8%"
-4,103,"32.5%"
-4,102,"40.0%"
-4,101,"40.7%"
-4,100,"45.0%"
-4,99,"41.7%"
-4,98,"42.4%"
-4,97,"46.1%"
-4,96,"41.1%"
-4,95,"42.7%"
-4,94,"32.8%"
-4,93,"40.8%"
-4,92,"39.0%"
-4,91,"32.2%"
-4,90,"34.7%"
-4,89,"26.4%"
-4,88,"31.5%"
-4,87,"21.9%"
-4,86,"31.9%"
-4,85,"21.2%"
-4,84,"35.1%"
-4,83,"20.2%"
-4,82,"25.3%"
-4,81,"20.4%"
-4,80,"24.0%"
-4,79,"21.9%"
-4,78,"22.3%"
-4,77,"13.8%"
-4,76,"16.4%"
-4,75,"10.5%"
-4,74,"15.6%"
-4,73,"14.7%"
-4,72,"12.9%"
-4,71,"18.1%"
-4,70,"24.1%"
-4,69,"15.9%"
-4,68,"9.8%"
-4,66,"17.5%"
-4,65,"13.8%"
-4,64,"21.7%"
-4,63,"16.9%"
-4,62,"19.0%"
-4,60,"28.1%"
-4,59,"26.8%"
-4,58,"21.5%"
-4,55,"40.6%"
-4,52,"46.6%"
-4,49,"35.2%"
-4,39,"34.0%"
-4,37,"24.8%"
-4,34,"79.2%"
-5,124,"44.8%"
-5,120,"45.2%"
-5,114,"68.2%"
-5,113,"55.7%"
-5,112,"41.8%"
-5,111,"59.3%"
-5,110,"56.0%"
-5,109,"45.7%"
-5,108,"42.2%"
-5,107,"45.9%"
-5,106,"56.3%"
-5,105,"46.9%"
-5,104,"38.9%"
-5,103,"37.2%"
-5,102,"37.0%"
-5,101,"38.3%"
-5,100,"49.5%"
-5,99,"37.1%"
-5,98,"38.1%"
-5,97,"45.5%"
-5,96,"42.4%"
-5,95,"41.7%"
-5,94,"32.2%"
-5,93,"35.5%"
-5,92,"30.8%"
-5,91,"31.5%"
-5,90,"20.3%"
-5,89,"27.0%"
-5,88,"22.3%"
-5,87,"25.1%"
-5,86,"20.2%"
-5,85,"30.6%"
-5,84,"16.6%"
-5,83,"18.6%"
-5,82,"23.3%"
-5,81,"17.4%"
-5,80,"18.2%"
-5,79,"23.8%"
-5,78,"19.6%"
-5,77,"17.2%"
-5,76,"24.6%"
-5,75,"21.4%"
-5,74,"15.7%"
-5,73,"14.7%"
-5,72,"22.1%"
-5,71,"16.6%"
-5,70,"16.5%"
-5,69,"21.9%"
-5,68,"16.7%"
-5,65,"15.0%"
-5,64,"9.7%"
-5,62,"8.2%"
-5,61,"17.8%"
-5,60,"10.4%"
-5,59,"24.4%"
-5,58,"16.7%"
-5,57,"17.8%"
-5,56,"16.6%"
-5,54,"14.0%"
-5,52,"14.4%"
-5,49,"27.2%"
-5,45,"9.2%"
-5,44,"27.3%"
-5,41,"30.6%"
-5,30,"21.8%"
-6,120,"43.4%"
-6,118,"62.4%"
-6,114,"60.2%"
-6,112,"45.1%"
-6,111,"40.8%"
-6,110,"41.9%"
-6,109,"38.3%"
-6,108,"43.1%"
-6,107,"46.6%"
-6,106,"46.2%"
-6,105,"47.7%"
-6,104,"47.3%"
-6,103,"38.2%"
-6,102,"45.6%"
-6,101,"39.4%"
-6,100,"38.5%"
-6,99,"37.4%"
-6,98,"30.0%"
-6,97,"41.3%"
-6,96,"38.4%"
-6,95,"35.6%"
-6,94,"30.8%"
-6,93,"38.0%"
-6,92,"27.5%"
-6,91,"20.3%"
-6,90,"25.4%"
-6,89,"23.3%"
-6,88,"20.5%"
-6,87,"19.8%"
-6,86,"22.7%"
-6,85,"20.8%"
-6,84,"22.4%"
-6,83,"19.3%"
-6,82,"17.2%"
-6,81,"16.1%"
-6,80,"15.8%"
-6,79,"21.4%"
-6,78,"19.5%"
-6,77,"19.5%"
-6,76,"12.2%"
-6,75,"13.8%"
-6,74,"15.8%"
-6,73,"14.2%"
-6,72,"19.3%"
-6,71,"16.1%"
-6,70,"13.9%"
-6,69,"22.2%"
-6,68,"20.7%"
-6,67,"22.0%"
-6,66,"13.0%"
-6,65,"19.7%"
-6,64,"24.9%"
-6,63,"19.4%"
-6,62,"15.6%"
-6,61,"34.2%"
-6,60,"16.6%"
-6,59,"21.4%"
-6,57,"18.2%"
-6,55,"20.0%"
-6,53,"36.5%"
-6,41,"27.4%"
-6,35,"32.8%"
-6,33,"73.8%"
-6,20,"36.0%"
-7,113,"32.6%"
-7,112,"49.9%"
-7,111,"29.5%"
-7,110,"33.3%"
-7,109,"29.2%"
-7,108,"35.4%"
-7,107,"34.5%"
-7,106,"41.0%"
-7,105,"31.0%"
-7,104,"30.1%"
-7,103,"30.3%"
-7,102,"28.6%"
-7,101,"37.5%"
-7,100,"38.1%"
-7,99,"32.9%"
-7,98,"26.6%"
-7,97,"26.5%"
-7,96,"31.6%"
-7,95,"29.4%"
-7,94,"26.9%"
-7,93,"29.7%"
-7,92,"24.0%"
-7,91,"20.3%"
-7,90,"18.3%"
-7,89,"19.0%"
-7,88,"21.7%"
-7,87,"20.4%"
